Date,Open,High,Low,Close,Adj Close,Volume
01/02/2019,38.72249985,39.71250153,38.55749893,39.47999954,37.99449158,148158800
01/03/2019,35.99499893,36.43000031,35.5,35.54750061,34.20996475,365248800
01/04/2019,36.13249969,37.13750076,35.95000076,37.06499863,35.67036057,234428400
01/07/2019,37.17499924,37.20750046,36.47499847,36.98249817,35.59096527,219111200
01/08/2019,37.38999939,37.95500183,37.13000107,37.6875,36.2694397,164101200
01/09/2019,37.82249832,38.63249969,37.40750122,38.32749939,36.88536072,180396400
01/10/2019,38.125,38.49250031,37.71500015,38.45000076,37.00325012,143122800
01/11/2019,38.22000122,38.42499924,37.87749863,38.07249832,36.63995743,108092800
01/14/2019,37.71250153,37.81750107,37.30500031,37.5,36.08898544,129756800
01/15/2019,37.56750107,38.34749985,37.51250076,38.26750183,36.82762146,114843600
01/16/2019,38.27000046,38.97000122,38.25,38.73500061,37.27751923,122278800
01/17/2019,38.54999924,39.41500092,38.31499863,38.96500015,37.49887085,119284800
01/18/2019,39.375,39.47000122,38.99499893,39.20500183,37.72984314,135004000
01/22/2019,39.10250092,39.18249893,38.15499878,38.32500076,36.88295364,121576000
01/23/2019,38.53749847,38.78499985,37.92499924,38.47999954,37.03211594,92522400
01/24/2019,38.52750015,38.61999893,37.93500137,38.17499924,36.73859024,101766000
01/25/2019,38.86999893,39.53250122,38.58000183,39.43999863,37.95598984,134142000
01/28/2019,38.94749832,39.08250046,38.41500092,39.07500076,37.60474014,104768400
01/29/2019,39.0625,39.53250122,38.52750015,38.66999817,37.21497345,166348800
01/30/2019,40.8125,41.53749847,40.05749893,41.3125,39.75804138,244439200
01/31/2019,41.52750015,42.25,41.13999939,41.61000061,40.04434204,162958400
02/01/2019,41.74000168,42.24499893,41.48249817,41.63000107,40.06359482,130672400
02/04/2019,41.85250092,42.91500092,41.81999969,42.8125,41.20159531,125982000
02/05/2019,43.21500015,43.77000046,43.08750153,43.54499817,41.9065361,144406400
02/06/2019,43.66249847,43.89250183,43.21250153,43.56000137,41.92097473,112958400
02/07/2019,43.09999847,43.48500061,42.58499908,42.73500061,41.1270256,126966800
02/08/2019,42.24750137,42.66500092,42.10499954,42.60250092,41.17533493,95280000
02/11/2019,42.76250076,42.80250168,42.3125,42.35749817,40.93854904,83973600
02/12/2019,42.52500153,42.75,42.42499924,42.72249985,41.29132462,89134000
02/13/2019,42.84749985,43.11999893,42.47999954,42.54499817,41.11976624,89960800
02/14/2019,42.42750168,42.81499863,42.34500122,42.70000076,41.26957321,87342800
02/15/2019,42.8125,42.92499924,42.4375,42.60499954,41.17775726,98507200
02/19/2019,42.42750168,42.86000061,42.37250137,42.73249817,41.30098724,75891200
02/20/2019,42.79750061,43.33000183,42.74750137,43.00749969,41.56677246,104457600
02/21/2019,42.95000076,43.09249878,42.57500076,42.76499939,41.33239746,68998800
02/22/2019,42.89500046,43.25,42.84500122,43.24250031,41.79389954,75652800
02/25/2019,43.54000092,43.96749878,43.48749924,43.55749893,42.09835815,87493600
02/26/2019,43.42750168,43.82500076,43.29249954,43.58250046,42.12251663,68280800
02/27/2019,43.30250168,43.75,43.18249893,43.71749878,42.25299835,111341600
02/28/2019,43.58000183,43.72750092,43.22999954,43.28749847,41.8373909,112861600
03/01/2019,43.56999969,43.78749847,43.22249985,43.74250031,42.27716064,103544800
03/04/2019,43.92250061,44.4375,43.49250031,43.96250153,42.48977661,109744800
03/05/2019,43.98500061,44,43.63499832,43.88249969,42.41246414,78949600
03/06/2019,43.66749954,43.87250137,43.48500061,43.63000107,42.16842651,83241600
03/07/2019,43.46749878,43.61000061,43.00500107,43.125,41.68034744,99185600
03/08/2019,42.58000183,43.26750183,42.375,43.22750092,41.77941132,95997600
03/11/2019,43.87250137,44.77999878,43.83750153,44.72499847,43.22673416,128044000
03/12/2019,45,45.66749954,44.84249878,45.22750092,43.71240616,129870400
03/13/2019,45.5625,45.82500076,45.22999954,45.42750168,43.9057045,124130000
03/14/2019,45.97499847,46.02500153,45.63999939,45.93249893,44.39378738,94318000
03/15/2019,46.21250153,46.83250046,45.93500137,46.52999878,44.97127151,156171600
03/18/2019,46.45000076,47.09749985,46.44749832,47.00500107,45.4303627,104879200
03/19/2019,47.08750153,47.24750137,46.47999954,46.63249969,45.0703392,126585600
03/20/2019,46.55749893,47.37250137,46.18249893,47.04000092,45.46419525,124140800
03/21/2019,47.50500107,49.08250046,47.45249939,48.77249908,47.1386528,204136800
03/22/2019,48.83499908,49.42250061,47.69499969,47.76250076,46.16248322,169630800
03/25/2019,47.87749863,47.99499893,46.65000153,47.18500137,45.60433197,175381200
03/26/2019,47.91500092,48.22000122,46.14500046,46.69749832,45.13315964,199202000
03/27/2019,47.1875,47.43999863,46.63750076,47.11750031,45.53909302,119393600
03/28/2019,47.23749924,47.38999939,46.88249969,47.18000031,45.59949493,83121600
03/29/2019,47.45750046,47.52000046,47.13499832,47.48749924,45.89670563,94256000
04/01/2019,47.90999985,47.91999817,47.09500122,47.81000137,46.20839691,111448000
04/02/2019,47.77249908,48.61500168,47.76250076,48.50500107,46.88011932,91062800
04/03/2019,48.3125,49.125,48.28749847,48.83750153,47.20146942,93087200
04/04/2019,48.69749832,49.09249878,48.28499985,48.92250061,47.28362656,76457200
04/05/2019,49.11249924,49.27500153,48.98249817,49.25,47.60015488,74106400
04/08/2019,49.10499954,50.05749893,49.08499908,50.02500153,48.34919357,103526800
04/09/2019,50.08000183,50.71250153,49.80749893,49.875,48.204216,143072800
04/10/2019,49.66999817,50.18500137,49.54499817,50.15499878,48.47483826,86781200
04/11/2019,50.21250153,50.25,49.61000061,49.73749924,48.07133484,83603200
04/12/2019,49.79999924,50.03499985,49.05250168,49.71749878,48.05199051,111042800
04/15/2019,49.64500046,49.96250153,49.50249863,49.80749893,48.13897705,70146400
04/16/2019,49.86500168,50.34249878,49.63999939,49.8125,48.14381027,102785600
04/17/2019,49.88499832,50.84500122,49.65250015,50.78250122,49.08131409,115627200
04/18/2019,50.77999878,51.03749847,50.63000107,50.96500015,49.2577095,96783200
04/22/2019,50.70750046,51.23500061,50.58499908,51.13249969,49.41959763,77758000
04/23/2019,51.10749817,51.9375,50.97499847,51.86999893,50.13238907,93292000
04/24/2019,51.84000015,52.11999893,51.76250076,51.79000092,50.05506897,70162400
04/25/2019,51.70750046,51.93999863,51.27999878,51.31999969,49.60081863,74172800
04/26/2019,51.22499847,51.25,50.52999878,51.07500076,49.36401749,74596400
04/29/2019,51.09999847,51.49250031,50.96500015,51.15250015,49.43891907,88818800
04/30/2019,50.76499939,50.84999847,49.77750015,50.16749954,48.48691177,186139600
05/01/2019,52.47000122,53.82749939,52.30749893,52.63000107,50.8669281,259309200
05/02/2019,52.45999908,53.16249847,52.03250122,52.28749847,50.5358963,127985200
05/03/2019,52.72249985,52.95999908,52.55749893,52.9375,51.16411972,83569600
05/06/2019,51.07249832,52.20999908,50.875,52.11999893,50.37401581,129772400
05/07/2019,51.47000122,51.85499954,50.20750046,50.71500015,49.0160675,155054800
05/08/2019,50.47499847,51.33499908,50.4375,50.72499847,49.02574158,105358000
05/09/2019,50.09999847,50.41999817,49.16500092,50.18000031,48.49900436,139634400
05/10/2019,49.35499954,49.71250153,48.19250107,49.29499817,47.82712555,164834800
05/13/2019,46.92750168,47.36999893,45.71250153,46.43000031,45.04743576,229722400
05/14/2019,46.60250092,47.42499924,46.35250092,47.16500092,45.76054382,146118800
05/15/2019,46.56750107,47.9375,46.50500107,47.72999954,46.30872345,106178800
05/16/2019,47.47750092,48.11750031,47.20999908,47.52000046,46.10498047,132125600
